date,count1,count2,cnont3
01/05/2022,11,93,82
02/05/2022,,114,99
03/05/2022,18,28,10
04/05/2022,19,107,88
05/05/2022,21,140,119
06/05/2022,170,217,47
07/05/2022,175,None,121
08/05/2022,5,142,137
09/05/2022,7,118,111
10/05/2022,83,,59
11/05/2022,111,245,134
12/05/2022,86,92,6
13/05/2022,93,98,5
14/05/2022,91,232,141
15/05/2022,24,165,141
16/05/2022,32,87,55
17/05/2022,137,236,99
18/05/2022,62,88,26
,168,220,52
20/05/2022,75,89,14
21/05/2022,156,264,108
22/05/2022,142,281,139
23/05/2022,8,63,55
24/05/2022,117,254,137
25/05/2022,60,172,112

